travel time / d,total delta_v / km*s-1,dva,dvb
25.400001157652127,171.73593150892106,79.1231828923157,92.61274861660536
50.800002315304255,78.58601154152618,33.61202591534618,44.97398562618
76.20000347295638,47.19351973397167,18.864989919043314,28.328529814928356
101.60000463060851,31.330092711937834,11.755100957028116,19.574991754909718
127.00000578826064,21.898110783301476,7.7808384619302196,14.117272321371258
152.40000694591276,15.882877283908627,5.485389614751961,10.397487669156666
177.8000081035649,11.957338637044199,4.228831634610398,7.728507002433802
203.20000926121702,9.379927686943443,3.6142038788719653,5.7657238080714786
228.60001041886915,7.67701708196914,3.3317429726096193,4.34527410935952
254.00001157652127,6.892412911852902,3.307846075652595,3.584566836200307
279.4000127341734,8.079957952799019,4.690561683377009,3.38939626942201
304.80001389182553,6.3723291248759715,3.4709219246187826,2.901407200257189
330.20001504947766,6.508494102856811,3.25148827897457,3.257005823882241
355.6000162071298,7.095529388338457,3.196415694838337,3.8991136935001207
381.0000173647819,8.11486222771696,3.375626634718008,4.739235592998953
406.40001852243404,9.736176220764511,3.957226204961372,5.778950015803139
431.80001968008617,12.217923659571552,5.12948079628489,7.088442863286662
457.2000208377383,15.940363949683395,7.1168733126336114,8.823490637049783
482.6000219953904,21.61059079711844,10.319355503478167,11.291235293640273
508.00002315304255,30.670195678753906,15.570475371012446,15.09972030774146
